nom,age,ori,haut,poids,s20,s21,v20,v21,rupt,c20,c21,lig20,lig21,div20,div21
C. Gedsted,19,Denmark,174,70,,1000.0,,275000.0,516000.0,,Aalborg BK,,Danish Superliga,,1.0
S. Medellín,21,Mexico,174,69,,900.0,,275000.0,509000.0,,Puebla FC,,Mexican Liga MX,,1.0
R. Schabbing,19,Germany,195,87,,500.0,,250000.0,413000.0,,MSV Duisburg,,German 3. Bundesliga,,3.0
T. Silić,17,Croatia,185,71,,500.0,,350000.0,1100000.0,,Hajduk Split,,Croatian Prva HNL,,1.0
N. Gibs,19,Germany,180,71,,500.0,,250000.0,413000.0,,1. FC Kaiserslautern,,German 3. Bundesliga,,3.0
K. Leavy,19,Republic of Ireland,175,74,,2000.0,,275000.0,694000.0,,Reading,,English League Championship,,2.0
M. Huskovic,18,Austria,180,66,,1000.0,,325000.0,674000.0,,FK Austria Wien,,Austrian Football Bundesliga,,1.0
A. Al Geaidy,25,Saudi Arabia,177,71,,5000.0,,170000.0,293000.0,,Al Fateh,,Saudi Abdul L. Jameel League,,1.0
A. Hawsawi,25,Saudi Arabia,176,76,,3000.0,,170000.0,293000.0,,Damac FC,,Saudi Abdul L. Jameel League,,1.0
Y. Djiga,18,Burkina Faso,187,80,,600.0,,375000.0,938000.0,,FC Basel 1893,,Swiss Super League,,1.0
Y. Heimur,18,Germany,186,74,,500.0,,275000.0,454000.0,,FC Viktoria 1889 Berlin,,German 3. Bundesliga,,3.0
K. Lepczyński,19,Poland,191,80,,700.0,,275000.0,543000.0,,Zagłębie Lubin,,Polish T-Mobile Ekstraklasa,,1.0
B. Kłudka,19,Poland,186,72,,700.0,,325000.0,642000.0,,Zagłębie Lubin,,Polish T-Mobile Ekstraklasa,,1.0
H. Al Mohammed,22,Saudi Arabia,177,74,,3000.0,,275000.0,509000.0,,Al Fateh,,Saudi Abdul L. Jameel League,,1.0
Victores,20,Spain,192,79,,900.0,,275000.0,612000.0,,CD Leganés,,Spanish Segunda División,,2.0
H. Høllsberg,19,Denmark,178,70,,1000.0,,300000.0,563000.0,,Vejle Boldklub,,Danish Superliga,,1.0
Buni Jorge,20,Angola,168,59,,650.0,,275000.0,536000.0,,Rodez Aveyron Football,,French Ligue 2,,2.0
T. Loridan,18,France,185,73,,500.0,,300000.0,713000.0,,USL Dunkerque,,French Ligue 2,,2.0
A. Despa,20,Romania,181,71,,1000.0,,275000.0,426000.0,,Rapid București,,Romanian Liga I,,1.0
T. Leigh,21,England,185,75,,650.0,,275000.0,536000.0,,Accrington Stanley,,English League One,,3.0
E. Galara,20,Poland,175,65,,550.0,,275000.0,426000.0,,PGE FKS Stal Mielec,,Polish T-Mobile Ekstraklasa,,1.0
J. Chorushij,18,Germany,172,68,,500.0,,325000.0,674000.0,,VfL Osnabrück,,German 3. Bundesliga,,3.0
M. Al Aqel,21,Saudi Arabia,182,71,,3000.0,,325000.0,739000.0,,Al Tai,,Saudi Abdul L. Jameel League,,1.0
P. Joly,21,France,182,75,,750.0,,275000.0,550000.0,,AJ Auxerre,,French Ligue 2,,2.0
M. Viltard,18,France,176,68,,500.0,,300000.0,585000.0,,FC Sochaux-Montbéliard,,French Ligue 2,,2.0
I. Sosa,17,Uruguay,175,67,,500.0,,325000.0,902000.0,,Centro Atlético Fénix,,Uruguayan Primera División,,1.0
N. Bitsche,18,Austria,180,70,,550.0,,275000.0,571000.0,,SC Rheindorf Altach,,Austrian Football Bundesliga,,1.0
M. Camara,18,Senegal,185,71,,1000.0,,300000.0,788000.0,,Racing Club de Lens,,French Ligue 1,,1.0
C. Lang,19,Austria,180,70,,2000.0,,300000.0,638000.0,,SK Sturm Graz,,Austrian Football Bundesliga,,1.0
A. Mitran,20,Romania,177,68,,650.0,,275000.0,426000.0,,FC Dinamo 1948 Bucureşti,,Romanian Liga I,,1.0
G. Dănuleasă,18,Romania,187,83,,500.0,,300000.0,593000.0,,FC Farul Constanța,,Romanian Liga I,,1.0
B. Diabaté,21,Mali,184,75,,1000.0,,275000.0,426000.0,,Lechia Gdańsk,,Polish T-Mobile Ekstraklasa,,1.0
C. Riedel,17,Germany,183,71,,500.0,,300000.0,653000.0,,SV Darmstadt 98,,German 2. Bundesliga,,2.0
I. Arslan,20,Turkey,186,76,,5000.0,,250000.0,550000.0,,Galatasaray SK,,Turkish Süper Lig,,1.0
A. Husic,20,Switzerland,186,80,,2000.0,,275000.0,571000.0,,FC Lausanne-Sport,,Swiss Super League,,1.0
S. Adeniran,22,United States,196,91,,1000.0,,275000.0,468000.0,,Seattle Sounders FC,,USA Major League Soccer,,1.0
A. Farouk,17,Germany,180,72,,500.0,,300000.0,495000.0,,SV Wehen Wiesbaden,,German 3. Bundesliga,,3.0
K. Kudo,17,Japan,180,72,,500.0,,300000.0,578000.0,,Urawa Red Diamonds,,Japanese J. League Division 1,,1.0
A. Besio,17,Switzerland,185,80,,500.0,,400000.0,980000.0,,FC St. Gallen 1879,,Swiss Super League,,1.0
J. Sangowski,19,Poland,191,80,,500.0,,300000.0,465000.0,,Warta Poznań,,Polish T-Mobile Ekstraklasa,,1.0
B. Boukteb,19,Belgium,183,76,,1000.0,,275000.0,454000.0,,Seraing,,Belgian Jupiler Pro League,,1.0
J. Khemdee,19,Thailand,190,75,,1000.0,,275000.0,399000.0,,Odense Boldklub,,Danish Superliga,,1.0
Pedro Lubamba,18,Angola,167,63,,1000.0,,325000.0,674000.0,,Royale Union Saint-Gilloise,,Belgian Jupiler Pro League,,1.0
J. Urbig,17,Germany,189,75,,500.0,,300000.0,840000.0,,1. FC Köln,,German 1. Bundesliga,,1.0
K. Al Mahous,21,Saudi Arabia,182,73,,2000.0,,300000.0,683000.0,,Al Tai,,Saudi Abdul L. Jameel League,,1.0
B. Al Enazi,21,Saudi Arabia,176,65,,1000.0,,250000.0,463000.0,,Al Tai,,Saudi Abdul L. Jameel League,,1.0
D. Khudyakov,17,Russia,193,88,,500.0,,300000.0,780000.0,,FC Lokomotiv Moscow,,Russian Premier League,,1.0
F. Momoh,20,Nigeria,187,83,,2000.0,,300000.0,495000.0,,Grasshopper Club Zürich,,Swiss Super League,,1.0
M. DeShields,23,Trinidad and Tobago,185,82,,1000.0,,250000.0,425000.0,,D.C. United,,USA Major League Soccer,,1.0
Y. Gurfinkel,23,Israel,171,65,,900.0,,275000.0,399000.0,,IFK Norrköping,,Swedish Allsvenskan,,1.0
N. Saintini,21,France,188,85,,2000.0,,275000.0,454000.0,,FC Sion,,Swiss Super League,,1.0
N. Mercier,18,France,174,70,,500.0,,300000.0,728000.0,,AJ Auxerre,,French Ligue 2,,2.0
D. Remie,18,Netherlands,186,74,,500.0,,275000.0,584000.0,,Feyenoord,,Holland Eredivisie,,1.0
O. Gene,18,France,180,75,,500.0,,300000.0,728000.0,,Amiens SC,,French Ligue 2,,2.0
M. Rongier,19,France,185,75,,500.0,,300000.0,728000.0,,Amiens SC,,French Ligue 2,,2.0
S. Visentin,22,Argentina,187,80,,2000.0,,275000.0,536000.0,,Crotone,,Italian Serie B,,2.0
G. Lagerbielke,21,Sweden,185,75,,600.0,,275000.0,399000.0,,IF Elfsborg,,Swedish Allsvenskan,,1.0
B. Greenwood,18,Republic of Ireland,180,70,,1000.0,,275000.0,694000.0,,AFC Bournemouth,,English League Championship,,2.0
N. van Haveren,17,Netherlands,194,79,,500.0,,275000.0,584000.0,,Vitesse,,Holland Eredivisie,,1.0
Y. Adjoumani,18,Côte d'Ivoire,168,68,,500.0,,275000.0,516000.0,,BK Häcken,,Swedish Allsvenskan,,1.0
M. Boukamir,17,Morocco,180,70,,500.0,,300000.0,638000.0,,Royal Charleroi S.C.,,Belgian Jupiler Pro League,,1.0
B. Bulut,18,Turkey,176,71,,750.0,,325000.0,853000.0,,Aytemiz Alanyaspor,,Turkish Süper Lig,,1.0
M. Løvik,17,Norway,180,75,,500.0,,375000.0,863000.0,,Molde FK,,Norwegian Eliteserien,,1.0
J. Hernández,17,Mexico,182,76,,500.0,,400000.0,1100000.0,,Gallos Blancos de Querétaro,,Mexican Liga MX,,1.0
J. Hall,23,England,188,82,,2000.0,,240000.0,348000.0,,Melbourne City FC,,Australian Hyundai A-League,,1.0
T. Fellows,18,England,181,67,,2000.0,,325000.0,821000.0,,West Bromwich Albion,,English League Championship,,2.0
K. Lloyd,18,England,170,70,,500.0,,300000.0,713000.0,,Wigan Athletic,,English League One,,3.0
Guille Bueno,19,Spain,178,73,,500.0,,275000.0,571000.0,,Borussia Dortmund II,,German 3. Bundesliga,,3.0
Ł. Szramowski,19,Poland,174,65,,500.0,,250000.0,388000.0,,Górnik Łęczna,,Polish T-Mobile Ekstraklasa,,1.0
H. Mondal,24,India,167,65,,500.0,,180000.0,257000.0,,SC East Bengal FC,,Indian Super League,,1.0
M. Cabrera,19,Uruguay,172,65,,500.0,,275000.0,646000.0,,Montevideo City Torque,,Uruguayan Primera División,,1.0
M. Hughes,28,Republic of Ireland,178,75,,500.0,,110000.0,171000.0,,Drogheda United,,Rep. Ireland Airtricity League,,1.0
R. Gaikwad,30,India,180,76,,500.0,,90000.0,122000.0,,SC East Bengal FC,,Indian Super League,,1.0
J. Tuite,24,Republic of Ireland,183,71,,500.0,,120000.0,195000.0,,Drogheda United,,Rep. Ireland Airtricity League,,1.0
K. Stephensen,30,Norway,188,72,700.0,750.0,100000.0,100000.0,125000.0,Mjøndalen IF,Mjøndalen IF,Norwegian Eliteserien,Norwegian Eliteserien,1.0,1.0
Huang Xiyang,36,China PR,178,70,1000.0,1000.0,35000.0,35000.0,54000.0,Chongqing Liangjiang Athletic,Chongqing Liangjiang Athletic,Chinese Super League,Chinese Super League,1.0,1.0
Chen Jie,31,China PR,175,75,2000.0,2000.0,100000.0,90000.0,140000.0,Chongqing Liangjiang Athletic,Chongqing Liangjiang Athletic,Chinese Super League,Chinese Super League,1.0,1.0
Cui Ming'an,26,China PR,180,70,2000.0,2000.0,140000.0,140000.0,228000.0,Dalian Professional Football Club,Dalian Professional Football Club,Chinese Super League,Chinese Super League,1.0,1.0
Liu Jiashen,29,China PR,190,86,2000.0,2000.0,90000.0,90000.0,140000.0,Qingdao FC,Qingdao FC,Chinese Super League,Chinese Super League,1.0,1.0
K. Simon,24,Montserrat,175,74,,500.0,,150000.0,244000.0,,Drogheda United,,Rep. Ireland Airtricity League,,1.0
Sun Kai,30,China PR,178,72,2000.0,1000.0,90000.0,90000.0,140000.0,Shanghai Shenhua FC,Chongqing Liangjiang Athletic,Chinese Super League,Chinese Super League,1.0,1.0
R. Rainey,24,Republic of Ireland,178,75,,500.0,,200000.0,350000.0,,Finn Harps,,Rep. Ireland Airtricity League,,1.0
D. Ganesh,30,India,184,85,,500.0,,90000.0,122000.0,,Chennaiyin FC,,Indian Super League,,1.0
S. Singh,27,India,174,83,,500.0,,110000.0,157000.0,,NorthEast United FC,,Indian Super League,,1.0
S. Elworthy,23,Republic of Ireland,175,65,,500.0,,210000.0,368000.0,,Longford Town,,Rep. Ireland Airtricity League,,1.0
L. Mansell,23,Wales,188,75,,950.0,,220000.0,429000.0,,Accrington Stanley,,English League One,,3.0
J. Thompson,22,Northern Ireland,187,74,,2000.0,,210000.0,315000.0,,FC Midtjylland,,Danish Superliga,,1.0
Liu Shibo,24,China PR,189,78,2000.0,2000.0,210000.0,210000.0,378000.0,Guangzhou FC,Guangzhou FC,Chinese Super League,Chinese Super League,1.0,1.0
A. Dobbs,22,Republic of Ireland,175,81,500.0,500.0,275000.0,240000.0,420000.0,Shelbourne FC,Longford Town,Rep. Ireland Airtricity League,Rep. Ireland Airtricity League,1.0,1.0
N. Suman,21,Australia,197,87,500.0,500.0,230000.0,230000.0,431000.0,Macarthur FC,Macarthur FC,Australian Hyundai A-League,Australian Hyundai A-League,1.0,1.0
C. Gilmour,22,Scotland,170,69,,1000.0,,240000.0,468000.0,,St. Johnstone FC,,Scottish Premiership,,1.0
J. Granlund,21,Norway,188,80,500.0,500.0,200000.0,210000.0,305000.0,Sandefjord Fotball,Sandefjord Fotball,Norwegian Eliteserien,Norwegian Eliteserien,1.0,1.0
B. Al Bahrani,26,Saudi Arabia,175,78,3000.0,3000.0,100000.0,120000.0,207000.0,Al Fateh,Al Fateh,Saudi Abdul L. Jameel League,Saudi Abdul L. Jameel League,1.0,1.0
B. James,21,England,187,79,1000.0,2000.0,200000.0,230000.0,483000.0,Middlesbrough,Middlesbrough,English League Championship,English League Championship,2.0,2.0
D. Zappella,23,Italy,180,75,600.0,5000.0,250000.0,230000.0,460000.0,Empoli,Empoli,Italian Serie B,Italian Serie A,2.0,1.0
Zhang Gong,29,China PR,183,74,2000.0,2000.0,110000.0,100000.0,155000.0,Guangzhou City,Guangzhou City,Chinese Super League,Chinese Super League,1.0,1.0
Chen Wei,23,China PR,188,80,1000.0,2000.0,200000.0,210000.0,368000.0,Shanghai Port FC,Shanghai Port FC,Chinese Super League,Chinese Super League,1.0,1.0
Yan Zihao,26,China PR,178,74,2000.0,1000.0,110000.0,130000.0,211000.0,Qingdao FC,Shijiazhuang Ever Bright F.C.,Chinese Super League,Chinese Super League,1.0,1.0
S. Moloney,21,England,189,76,800.0,800.0,200000.0,210000.0,410000.0,Barrow,Barrow,English League Two,English League Two,4.0,4.0
C. McCabe,24,Republic of Ireland,193,82,500.0,500.0,240000.0,110000.0,179000.0,Shelbourne FC,Drogheda United,Rep. Ireland Airtricity League,Rep. Ireland Airtricity League,1.0,1.0
Hëzimjan Ërpan,22,China PR,178,65,,2000.0,,240000.0,420000.0,,Qingdao FC,,Chinese Super League,,1.0
Yang Wanshun,25,China PR,178,75,,2000.0,,140000.0,228000.0,,Tianjin Jinmen Tiger FC,,Chinese Super League,,1.0
M. Najjar,21,Australia,182,72,2000.0,700.0,190000.0,240000.0,348000.0,Melbourne City FC,Macarthur FC,Australian Hyundai A-League,Australian Hyundai A-League,1.0,1.0
R. Manley,23,Republic of Ireland,187,65,,500.0,,170000.0,298000.0,,Longford Town,,Rep. Ireland Airtricity League,,1.0
J. Akanyirige,19,United States,180,80,500.0,600.0,150000.0,275000.0,571000.0,San Jose Earthquakes,San Jose Earthquakes,USA Major League Soccer,USA Major League Soccer,1.0,1.0
S. Bareiro,22,Paraguay,182,85,,2000.0,,240000.0,456000.0,,Club Necaxa,,Mexican Liga MX,,1.0
J. McCracken,21,Scotland,185,71,,2000.0,,230000.0,506000.0,,Norwich City,,English Premier League,,1.0
B. Niezgoda,21,Poland,197,85,,750.0,,230000.0,454000.0,,Jagiellonia Białystok,,Polish T-Mobile Ekstraklasa,,1.0
L. Wahlstedt,21,Sweden,190,80,,500.0,,230000.0,334000.0,,Odds BK,,Norwegian Eliteserien,,1.0
S. Al Wehimid,23,Saudi Arabia,184,74,,3000.0,,210000.0,399000.0,,Al Ittihad,,Saudi Abdul L. Jameel League,,1.0
M. Nelson,26,United States,194,85,900.0,950.0,90000.0,120000.0,183000.0,Houston Dynamo,Houston Dynamo,USA Major League Soccer,USA Major League Soccer,1.0,1.0
K. Ward,21,England,182,71,2000.0,2000.0,250000.0,275000.0,653000.0,Barnsley,Mansfield Town,English League Championship,English League Two,2.0,4.0
C. Logan,19,Scotland,177,64,,600.0,,275000.0,653000.0,,Heart of Midlothian,,Scottish Premiership,,1.0
K. Silva,23,United States,183,85,,800.0,,210000.0,357000.0,,Toronto FC,,USA Major League Soccer,,1.0
E. Bilen,20,Turkey,186,80,1000.0,1000.0,110000.0,250000.0,656000.0,Göztepe SK,Göztepe SK,Turkish Süper Lig,Turkish Süper Lig,1.0,1.0
N. James,20,Australia,185,78,500.0,500.0,220000.0,230000.0,431000.0,Newcastle Jets,Newcastle Jets,Australian Hyundai A-League,Australian Hyundai A-League,1.0,1.0
M. Al Nakhli,25,Saudi Arabia,172,63,4000.0,5000.0,150000.0,140000.0,242000.0,Al Fateh,Al Fateh,Saudi Abdul L. Jameel League,Saudi Abdul L. Jameel League,1.0,1.0
J. Szpaderski,22,Poland,191,84,,500.0,,210000.0,326000.0,,Radomiak Radom,,Polish T-Mobile Ekstraklasa,,1.0
M. Al Qaydhi,23,Saudi Arabia,185,72,,2000.0,,200000.0,370000.0,,Abha Club,,Saudi Abdul L. Jameel League,,1.0
A. Saipi,20,Switzerland,194,84,,850.0,,230000.0,477000.0,,FC Lugano,,Swiss Super League,,1.0
M. Hundley,21,United States,178,73,,1000.0,,275000.0,468000.0,,Colorado Rapids,,USA Major League Soccer,,1.0
O. Opsahl,19,Norway,178,64,500.0,500.0,300000.0,240000.0,450000.0,Vålerenga Fotball,Vålerenga Fotball,Norwegian Eliteserien,Norwegian Eliteserien,1.0,1.0
J. Lourenco,29,India,178,74,,500.0,,90000.0,122000.0,,SC East Bengal FC,,Indian Super League,,1.0
S. Chakrabarti,29,India,172,71,,500.0,,90000.0,122000.0,,Hyderabad FC,,Indian Super League,,1.0
H. Sveijer,19,Sweden,186,84,500.0,500.0,90000.0,200000.0,290000.0,IK Sirius,IK Sirius,Swedish Allsvenskan,Swedish Allsvenskan,1.0,1.0
M. Bassas,22,Saudi Arabia,176,75,,4000.0,,230000.0,,,Al Hazem,,Saudi Abdul L. Jameel League,,1.0
I. Vanmalsawma,24,India,169,65,,500.0,,150000.0,214000.0,,Odisha FC,,Indian Super League,,1.0
S. Sarangi,21,India,179,68,,500.0,,210000.0,326000.0,,Odisha FC,,Indian Super League,,1.0
N. Kumar,31,India,183,80,,500.0,,60000.0,81000.0,,FC Goa,,Indian Super League,,1.0
M. Ali,28,India,180,70,,500.0,,100000.0,143000.0,,FC Goa,,Indian Super League,,1.0
K. Singh,25,India,185,80,,500.0,,130000.0,202000.0,,Odisha FC,,Indian Super League,,1.0
N. Tamang,25,India,179,73,,500.0,,150000.0,214000.0,,Hyderabad FC,,Indian Super League,,1.0
L. Khawlhring,23,India,165,69,,500.0,,220000.0,341000.0,,Kerala Blasters FC,,Indian Super League,,1.0
S. Doherty,21,Republic of Ireland,176,77,,500.0,,240000.0,420000.0,,Finn Harps,,Rep. Ireland Airtricity League,,1.0
J. Helliwell,19,England,169,70,550.0,3000.0,250000.0,275000.0,681000.0,Barnsley,Barnsley,English League Championship,English League Championship,2.0,2.0
J. Furlong,19,Republic of Ireland,178,71,2000.0,4000.0,250000.0,275000.0,694000.0,Brighton & Hove Albion,Brighton & Hove Albion,English Premier League,English Premier League,1.0,1.0
M. Dilmurat,23,China PR,169,72,1000.0,2000.0,200000.0,230000.0,403000.0,Chongqing Liangjiang Athletic,Henan Songshan Longmen FC,Chinese Super League,Chinese Super League,1.0,1.0
F. Robertson,18,Scotland,171,70,,500.0,,275000.0,653000.0,,Dundee FC,,Scottish Premiership,,1.0
A. Nyhagen,22,Norway,181,65,600.0,650.0,230000.0,230000.0,334000.0,Strømsgodset IF,Strømsgodset IF,Norwegian Eliteserien,Norwegian Eliteserien,1.0,1.0
A. Singh Kiyam,20,India,171,62,,500.0,,250000.0,,,SC East Bengal FC,,Indian Super League,,1.0
M. Wagner,20,Germany,187,86,500.0,500.0,220000.0,230000.0,477000.0,FC Bayern München II,Türkgücü München,German 3. Bundesliga,German 3. Bundesliga,3.0,3.0
K. Gordon,19,England,185,70,1000.0,2000.0,190000.0,275000.0,694000.0,Sheffield United,Sheffield United,English Premier League,English League Championship,1.0,2.0
L. Richards,19,Republic of Ireland,182,72,2000.0,5000.0,275000.0,275000.0,798000.0,Wolverhampton Wanderers,Wolverhampton Wanderers,English Premier League,English Premier League,1.0,1.0
P. Martin,22,Republic of Ireland,188,84,,500.0,,130000.0,211000.0,,Waterford FC,,Rep. Ireland Airtricity League,,1.0
Y. Itahashi,19,Japan,185,75,,500.0,,220000.0,413000.0,,Sagan Tosu,,Japanese J. League Division 1,,1.0
H. Vergara,22,Colombia,184,78,500.0,500.0,240000.0,240000.0,372000.0,Deportivo Pasto,Deportivo Pasto,Colombian Liga Postobón,Colombian Liga Postobón,1.0,1.0
G. Forrest,21,England,185,81,,500.0,,230000.0,403000.0,,Waterford FC,,Rep. Ireland Airtricity League,,1.0
J. Northcott,19,Scotland,160,60,,800.0,,275000.0,653000.0,,St. Johnstone FC,,Scottish Premiership,,1.0
N. Gahlot,20,India,184,79,,500.0,,230000.0,357000.0,,Jamshedpur FC,,Indian Super League,,1.0
C. Panter,20,England,186,77,1000.0,1000.0,190000.0,240000.0,,Luton Town,Dundee FC,English League Championship,Scottish Premiership,2.0,1.0
L. Otto,20,Germany,189,83,500.0,500.0,250000.0,230000.0,477000.0,1. FC Kaiserslautern,1. FC Kaiserslautern,German 3. Bundesliga,German 3. Bundesliga,3.0,3.0
F. Lockett,18,England,173,67,,600.0,,275000.0,653000.0,,Bolton Wanderers,,English League One,,3.0
N. Bergmark,19,Sweden,191,73,500.0,500.0,275000.0,220000.0,319000.0,Örebro SK,Örebro SK,Swedish Allsvenskan,Swedish Allsvenskan,1.0,1.0
T. Charters,19,England,185,75,700.0,1000.0,150000.0,250000.0,594000.0,Carlisle United,Carlisle United,English League Two,English League Two,4.0,4.0
A. Fouad,19,Saudi Arabia,178,65,,2000.0,,275000.0,626000.0,,Ettifaq FC,,Saudi Abdul L. Jameel League,,1.0
H. Hackney,19,England,178,70,950.0,2000.0,300000.0,275000.0,,Middlesbrough,Scunthorpe United,English League Championship,English League Two,2.0,4.0
C. Thompson,20,Republic of Ireland,173,70,,500.0,,240000.0,420000.0,,Longford Town,,Rep. Ireland Airtricity League,,1.0
A. Moescu,20,Romania,187,80,850.0,1000.0,210000.0,240000.0,474000.0,FC Botoşani,FC Botoşani,Romanian Liga I,Romanian Liga I,1.0,1.0
L. Duzel,19,Australia,182,71,500.0,500.0,150000.0,250000.0,469000.0,Western United FC,Western United FC,Australian Hyundai A-League,Australian Hyundai A-League,1.0,1.0
L. Cundle,19,England,170,62,3000.0,6000.0,350000.0,300000.0,870000.0,Wolverhampton Wanderers,Wolverhampton Wanderers,English Premier League,English Premier League,1.0,1.0
R. Ali,21,India,184,75,,500.0,,240000.0,372000.0,,Chennaiyin FC,,Indian Super League,,1.0
Li Yang,23,China PR,186,85,,1000.0,,220000.0,385000.0,,Wuhan FC,,Chinese Super League,,1.0
Wen Tianpeng,24,China PR,176,77,2000.0,2000.0,190000.0,220000.0,385000.0,Chongqing Liangjiang Athletic,Chongqing Liangjiang Athletic,Chinese Super League,Chinese Super League,1.0,1.0
Gong Qiule,21,China PR,171,68,,1000.0,,230000.0,403000.0,,Hebei FC,,Chinese Super League,,1.0
S. Rathi,19,India,176,70,,500.0,,275000.0,543000.0,,ATK Mohun Bagan FC,,Indian Super League,,1.0
K. Urbański,16,Poland,178,58,,550.0,,350000.0,945000.0,,Bologna,,Italian Serie A,,1.0
D. Callender,23,United States,191,93,800.0,800.0,210000.0,210000.0,357000.0,Inter Miami CF,Inter Miami CF,USA Major League Soccer,USA Major League Soccer,1.0,1.0
Seo Ju Hwan,22,Korea Republic,191,79,700.0,1000.0,210000.0,210000.0,315000.0,Ulsan Hyundai FC,Ulsan Hyundai FC,Korean K League 1,Korean K League 1,1.0,1.0
E. Lopez,22,United States,183,75,600.0,800.0,230000.0,210000.0,357000.0,LA Galaxy,LA Galaxy,USA Major League Soccer,USA Major League Soccer,1.0,1.0
N. Machado,24,Uruguay,186,81,500.0,500.0,240000.0,170000.0,400000.0,Centro Atlético Fénix,Centro Atlético Fénix,Uruguayan Primera División,Uruguayan Primera División,1.0,1.0
Cho Yoon Sung,22,Korea Republic,185,80,850.0,1000.0,230000.0,230000.0,334000.0,Gangwon FC,Gangwon FC,Korean K League 1,Korean K League 1,1.0,1.0
Lee Kang Han,21,Korea Republic,176,68,,850.0,,250000.0,469000.0,,Gangwon FC,,Korean K League 1,,1.0
B. Mæland,20,Norway,184,75,500.0,600.0,230000.0,220000.0,319000.0,Odds BK,Odds BK,Norwegian Eliteserien,Norwegian Eliteserien,1.0,1.0
B. Scorza,20,Uruguay,176,72,500.0,500.0,140000.0,250000.0,694000.0,Centro Atlético Fénix,Centro Atlético Fénix,Uruguayan Primera División,Uruguayan Primera División,1.0,1.0
J. Briones,19,Ecuador,167,59,500.0,500.0,250000.0,275000.0,763000.0,Sociedad Deportiva Aucas,Sociedad Deportiva Aucas,Ecuadorian Serie A,Ecuadorian Serie A,1.0,1.0
C. Dunbar,18,United States,167,59,500.0,550.0,350000.0,300000.0,750000.0,LA Galaxy,LA Galaxy,USA Major League Soccer,USA Major League Soccer,1.0,1.0
A. Rodriguez,18,United States,175,75,,500.0,,275000.0,688000.0,,Colorado Rapids,,USA Major League Soccer,,1.0
J. Perez,18,Mexico,167,61,500.0,500.0,350000.0,300000.0,750000.0,LA Galaxy,LA Galaxy,USA Major League Soccer,USA Major League Soccer,1.0,1.0
M. Bækken,19,Norway,177,69,,500.0,,250000.0,469000.0,,Mjøndalen IF,,Norwegian Eliteserien,,1.0
G. Buta,19,Romania,186,82,,850.0,,275000.0,543000.0,,FC Farul Constanța,,Romanian Liga I,,1.0
A. Mejía,19,Ecuador,178,70,500.0,500.0,120000.0,275000.0,763000.0,Independiente del Valle,Independiente del Valle,Ecuadorian Serie A,Ecuadorian Serie A,1.0,1.0
J. Molina,21,Chile,171,64,800.0,800.0,130000.0,250000.0,494000.0,CD Huachipato,CD Huachipato,Chilian Campeonato Nacional,Chilian Campeonato Nacional,1.0,1.0
A. Smith,19,England,186,78,,1000.0,,240000.0,,,Salford City,,English League Two,,4.0
T. Mehew,20,England,185,73,,2000.0,,210000.0,410000.0,,Bristol Rovers,,English League Two,,4.0
Á. Garrido,21,Chile,173,71,850.0,900.0,120000.0,275000.0,543000.0,CD Huachipato,CD Huachipato,Chilian Campeonato Nacional,Chilian Campeonato Nacional,1.0,1.0
A. Moreno,19,Chile,170,57,500.0,500.0,190000.0,275000.0,543000.0,Unión La Calera,Unión La Calera,Chilian Campeonato Nacional,Chilian Campeonato Nacional,1.0,1.0
W. Lancaster,18,England,183,70,,2000.0,,250000.0,619000.0,,Barnsley,,English League Championship,,2.0
S. Henriksen,19,Norway,192,78,,500.0,,275000.0,516000.0,,Viking FK,,Norwegian Eliteserien,,1.0
J. Robbins,19,England,182,75,600.0,1000.0,200000.0,275000.0,653000.0,Crewe Alexandra,Crewe Alexandra,English League One,English League One,3.0,3.0
E. Dobbelaere,18,United States,175,64,500.0,500.0,350000.0,250000.0,531000.0,Seattle Sounders FC,Seattle Sounders FC,USA Major League Soccer,USA Major League Soccer,1.0,1.0
N. Lemoine,21,United States,173,64,950.0,950.0,250000.0,275000.0,571000.0,Houston Dynamo,Houston Dynamo,USA Major League Soccer,USA Major League Soccer,1.0,1.0
I. Takahashi,17,Japan,189,84,,500.0,,250000.0,575000.0,,Vissel Kobe,,Japanese J. League Division 1,,1.0
J. Liburd,19,Denmark,181,72,750.0,1000.0,300000.0,250000.0,363000.0,SønderjyskE,SønderjyskE,Danish Superliga,Danish Superliga,1.0,1.0
J. Ajenjo Hyjek,20,Poland,186,76,800.0,1000.0,250000.0,240000.0,372000.0,Piast Gliwice,Śląsk Wrocław,Polish T-Mobile Ekstraklasa,Polish T-Mobile Ekstraklasa,1.0,1.0
N. Milanovic,19,Australia,185,76,500.0,500.0,180000.0,250000.0,469000.0,Western United FC,Western United FC,Australian Hyundai A-League,Australian Hyundai A-League,1.0,1.0
H. Al Abdan,21,Saudi Arabia,165,61,4000.0,4000.0,250000.0,275000.0,,Al Hilal,Al Hazem,Saudi Abdul L. Jameel League,Saudi Abdul L. Jameel League,1.0,1.0
V. Sima,23,Romania,190,83,,600.0,,180000.0,279000.0,,CS Mioveni,,Romanian Liga I,,1.0
D. Dassy,18,Belgium,181,69,500.0,600.0,275000.0,250000.0,531000.0,KV Mechelen,KV Mechelen,Belgian Jupiler Pro League,Belgian Jupiler Pro League,1.0,1.0
